"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Benin","BEN","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1050","2707","4295","6286","7269","55476","125000","218770","236175","459322","596267","1055730","2051780","3625370","5033350","7074910","7765210","8407850","9627450","8660430","9317960","8892490","8773040","9461870","10349800","",
"Burkina Faso","BFA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","525","1503","2730","5036","25245","76186","111013","238094","395939","633554","1016610","1858040","3024150","3823630","5707850","7682100","9976110","11240900","12494400","14446900","15404000","17946400","19339100","20364500","",
"Bangladesh","BGD","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250","500","1104","2500","4000","26000","75000","149000","279000","520000","1075000","1365000","2781560","9000000","19131000","34370000","44640000","51359300","67923900","84368700","97180000","116553000","126866000","131376000","135982000","150945000","156989000","165572000","",
"Bulgaria","BGR","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","6500","20920","26588","70000","127000","350000","738000","1550000","2597550","3500870","4729730","6244920","8253420","9897480","10429000","10454800","10199900","10475100","10780700","10486800","9486930","9194630","8973870","8532910","8329150","8134580","",
"Bahrain","BHR","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","618","1712","2886","4251","5147","7354","9683","11360","17616","27600","40080","58543","92063","133468","205727","299587","388990","443109","649764","767103","907433","1115980","1440780","1401970","1567000","1693650","2123900","2210190","2328990","2519060","2994870","2364480","2092710","1900360","",
"Bahamas, The","BHS","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1922","2020","2600","2401","2401","4100","4948","6200","8072","15911","31524","60555","121759","122228","186007","227771","252987","373999","358050","358812","428377","298790","300000","287000","314842","311175","360200","353540","381591","425507","",
"Bosnia and Herzegovina","BIH","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1500","9000","25181","52607","93386","444711","748780","1074790","1407440","1594370","1887820","2450430","3179040","3257240","3110230","3171280","3357540","3488320","3491190","3443520","3404040","3440090","3461060","3694050","",
"Belarus","BLR","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","324","1724","5897","6548","8167","12155","23457","49353","138329","462630","1118000","2239290","4099500","5960000","6960000","8128000","9686200","10332900","10694900","10676500","11114400","11401900","11448300","11439900","11415100","11619700","11619700","",
"Belize","BLZ","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","832","1547","2184","2544","3535","6591","16812","39155","51729","60403","75000","96000","118000","118314","160032","161783","194201","222407","172423","174615","172300","211946","222928","239441","327629","254919","",
"Bermuda","BMU","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","745","1112","1440","1936","3400","5127","6324","7980","10276","12572","12800","13000","13333","30000","40000","49000","52720","60100","69000","79000","85000","88200","88200","91000","94300","59491","38000","63891","64997","64997","64997","",
"Bolivia","BOL","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","295","1551","2659","4056","7229","33400","118433","239272","420344","582620","779917","1023330","1278840","1800790","2421400","2876140","3254410","5038600","6464390","7179290","8353270","9493210","10425700","10450300","10162800","10106200","10963200","11445800","11445800","",
"Brazil","BRA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","667","6700","32000","182000","574009","1285530","2498150","4550000","7368220","15032700","23188200","28745800","34881000","46373300","65605000","86210300","99918600","120980000","150641000","169386000","196930000","234358000","248324000","271100000","280729000","257814000","244067000","218255000","207047000","207047000","",
"Barbados","BRB","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","486","796","1560","2967","4614","6283","8013","12000","20309","28467","53111","97193","140000","200138","206190","237119","257596","288662","337061","350061","347917","349296","307708","305456","334792","332208","329565","351344","311734","",
"Brunei Darussalam","BRN","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1772","3025","4103","8304","15623","35881","43524","45000","49129","66000","95000","143004","153647","177365","202454","232900","301400","366138","398857","412882","435104","443161","469740","468814","452054","463384","523453","544732","565949","557398","",
"Bhutan","BTN","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2255","19138","36000","82078","149439","253429","338938","394316","484189","560890","544337","624536","675747","698373","730623","703554","729239","",
"Botswana","BWA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15190","92000","222190","332264","332264","444978","522840","563782","823070","1151760","1485790","1874100","2363410","2900260","3081730","3246790","3410510","3475330","3288990","3240590","3381230","4004090","",
"Central African Republic","CAF","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","1071","1370","1633","4162","4967","11000","12600","40000","60000","100000","110000","340000","570000","863641","979232","992444","1143110","1360300","1155620","1242490","1248350","1175390","1291380","1530390","",
"Canada","CAN","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","12000","60000","98364","202633","345178","583766","775831","1026610","1332980","1865780","2589780","3497780","4195000","5346000","6911040","8727000","10649000","11872000","13291000","15020000","17016600","18749100","20277400","22092500","23811900","25825400","26840000","27720000","28360000","28789000","29765000","30752000","31693000","33082000","34615000","",
"Central Europe and the Baltics","CEB","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2885","12950","45287","110527","292238","552442","1217682","3116133","6225211","11818527","22380902","35012855","47449906","57922460","72353920","87480970","103030460","117786770","125905240","126325320","128283100","131232730","135743070","137943600","136666810","131329750","129855560","126579630","127547590","129549220","",
"Switzerland","CHE","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","5475","30768","72735","125047","174557","215061","257703","332165","447167","662713","1044380","1698570","3057510","4638520","5275790","5736300","6189000","6274760","6834230","7436160","8208880","8896710","9322580","9644160","10082600","10561100","11048600","11150000","11243200","11242100","11088600","11050000","10927300","",
"Channel Islands","CHI","Mobile cellular subscriptions","IT.CEL.SETS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4886","13921","36136","64438","85186","115691","197314","319474","409740","964248","2260690","3401530","5100780","6244310","7268280","9261390","10569600","12450800","13955200","14796600","16450200","19852200","22315200","23941000","23661300","23680700","23206400","23302600","23013100","25179000","25051700","",
"China","CHN","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","700","3227","9805","18319","47544","176943","638000","1568000","3629000","6853000","13233000","23863000","43296000","85260000","144820000","206005000","269953000","334824000","393406000","461058000","547306000","641245000","747214000","859003000","986253000","1112160000","1229110000","1286090000","1291980000","1364930000","1469880000","1641150000","1725700000","",
"Cote d'Ivoire","CIV","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13549","36000","91212","257134","472952","728545","1027060","1280700","1674330","2349440","4065420","7467710","10449000","13184300","15599000","17344200","18099500","19390900","22104600","25407600","27451300","31747200","33807900","37376600","",
"Cameroon","CMR","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1600","2800","3500","4200","5000","6000","103279","417295","701507","1077000","1530870","2252510","3135950","4536000","6160890","8004120","8636650","10486600","13108100","15664700","17039100","18160700","18717500","20135400","17420800","21155300","",
"Congo, Dem. Rep.","COD","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8500","7200","8900","10000","12000","15000","150000","560000","1246230","1990720","2746090","4415470","6592000","9937620","9458560","11820300","15644900","20092700","28231900","37103000","37752800","28889300","35375200","36470600","37123200","",
"Congo, Rep.","COG","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","1000","3390","5000","70000","150000","221800","330000","383653","558192","917499","1287630","1807000","2948300","3718750","3884760","4283130","4659760","4930100","5216000","5424000","5056000","5000000","5000000","",
"Colombia","COL","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86805","274590","522857","1264760","1800230","1966540","2256800","3265260","4596590","6186210","10400600","21850000","29762700","33941100","41364800","42159600","44477700","46200400","49066400","50295100","55330300","57327500","58684900","62220000","64514000","66283200","",
"Comoros","COM","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","8378","15523","36877","62104","91741","122596","165278","216438","283511","347500","383000","424786","454389","468914","498903","575218","",
"Cabo Verde","CPV","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","1020","8068","19729","31507","42949","53342","65780","81721","108858","152212","277670","290621","371871","396429","425310","499458","613378","611468","601956","612259","610328","595681","",
"Costa Rica","CRI","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3008","4533","6985","18750","46531","64387","108770","138178","211614","326944","502478","778299","923084","1101310","1443720","1508220","1886570","1950320","3128370","4153070","5378080","7111980","7020410","7535600","8330660","8840340","8495590","8171210","",
"Caribbean small states","CSS","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2072","5526","13393","23733","38562","66297","85516","108633","142649","261905","720054","1220489","2053422","2837910","3675510","4361808","5593660","6437566","7108316","7646712","7935928","7534119","7322040","7738402","7952809","8158691","8483363","8225310","8108229","8374284","",
"Cuba","CUB","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","234","500","1152","1939","2427","2994","4056","5136","6536","8579","17851","35356","75797","135534","152715","198252","331736","621156","1003020","1315140","1681650","1995700","2530750","3335350","3987900","4613780","5373320","6042630","",
"Curacao","CUW","Mobile cellular subscriptions","IT.CEL.SETS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201097","204024","206294","204702","203502","192569","190489","186644","187184","187184","187184","",
"Cayman Islands","CYM","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","559","988","1260","1813","2534","2534","4109","5170","8410","10700","17000","19000","21040","33800","80945","92559","101497","98313","108699","100568","96777","98834","98036","91059","93244","95656","96656","96656","96656","",
"Cyprus","CYP","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","168","1348","3156","5131","9739","15288","22938","44453","70781","91968","116429","151649","218324","314355","417933","551752","658234","782503","867785","988312","1016740","977521","1034070","1090940","1110940","1099620","1110800","1111120","1133780","1176800","1200380","1243150","",
"Czech Republic","CZE","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1242","4651","14043","30429","48900","200315","526339","965476","1944550","4346010","6947150","8610180","9708680","10782600","11775900","12406200","13228600","13780200","13062600","12934100","13167700","13521900","13719300","13913100","12454600","12485000","12636400","12710700","13205000","",
"Germany","DEU","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","1080","23800","48747","98763","163619","272609","532251","971890","1774380","2490500","3725000","5512000","8276000","13913000","23446000","48202000","56126000","59128000","64800000","71322000","79271000","85652000","96232900","105523000","105000000","88400000","90900000","92400000","100034000","99530000","96360000","103470000","109736000","107500000","107200000","",
"Djibouti","DJI","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110","203","220","280","230","3000","15000","23000","34482","44053","44817","69539","112848","128776","165613","193049","212468","244123","287049","314350","345246","373052","395037","395037","",
"Dominica","DMA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","461","556","650","800","1200","7710","12173","23786","41838","52000","71500","89000","91000","98500","105567","108924","109300","93575","73886","77254","78444","75230","75771","75771","",
"Denmark","DNK","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","7200","16100","30600","46100","57604","77432","101479","123792","148220","175943","211063","357589","503500","822264","1316590","1444020","1931100","2628590","3363550","3960170","4477750","4767100","5166910","5449210","5828160","6308000","6556990","6833680","6420790","7173190","7292760","7031150","7160230","7079250","6985040","7132930","7197000","7243470","",
"Dominican Republic","DOM","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3166","5605","7190","10364","20990","55979","82547","141592","209384","424434","705431","1270080","1700610","2091910","2534060","3623290","4605660","5512860","7210480","8629820","8892780","8770780","8934200","9200410","8303540","8797250","8708130","8769130","8937650","8948110","",
"Algeria","DZA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","470","4781","4781","4781","1348","4691","11700","17400","18000","72000","86000","100000","450244","1446930","4882410","13661400","20998000","27562700","27031500","32729800","32780200","35615900","37527700","39517000","43298200","43227600","47041300","45845700","51490100","47081100","",
"East Asia & Pacific (excluding high income)","EAP","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","1750","2029","16169","30314","57100","102088","186258","360223","721480","1558170","3155002","6682675","11851892","19918797","31165433","54209014","104731776","180255750","262312468","347624073","446498756","537503425","650487072","825997235","1024587082","1195891266","1389838777","1600442377","1791167985","1948001005","2067497520","2094797285","2243051485","2390338453","2485555178","2651154802","",
"Early-demographic dividend","EAR","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","1750","2029","5514","15761","28061","54869","187339","394450","726446","1155949","2258156","4126535","7912130","15197718","24939331","45655396","81099716","117372514","155055919","216378321","308815143","464128919","691698664","964581348","1275091463","1594605170","1980488982","2287308466","2386165165","2532463643","2660507246","2788311281","3016217500","3130597206","3058811067","3178224661","",
"East Asia & Pacific","EAS","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","13275","19804","27198","43142","68229","128390","226225","424070","909037","1646510","2745302","4057177","6029739","11252990","24600005","49286219","74881850","107365983","159909649","234862426","328614906","425645128","522345325","630001861","730525233","852927569","1045820168","1252581696","1435470602","1642135554","1868540310","2071657437","2238096409","2371059261","2403222623","2562208439","2719377844","2823840176","2994538649","",
"Europe & Central Asia (excluding high income)","ECA","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","365","5101","9846","15606","31809","48128","67395","96076","217549","580968","1137265","2363176","4769940","10821014","22281117","34325611","52645656","82295953","144726795","226692256","301117309","355330500","406586700","447269250","467786410","455770440","467796409","486618392","491126970","497372440","497611530","499893770","501489020","524090370","",
"Europe & Central Asia","ECS","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","23482","50310","79375","118093","179574","322211","559165","952116","1580365","2495466","3455438","4724050","6253475","9292875","15157048","24086853","37967095","61012307","104327311","181451824","290863979","358720697","407856196","473112304","576329781","708256923","829272337","935574935","1015995322","1058756975","1070069058","1073649043","1096878054","1123342740","1123227357","1123508233","1125961763","1131687099","1134623427","1159038183","",
"Ecuador","ECU","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18920","54380","59779","126505","242812","383185","482213","859152","1560860","2398160","3544170","6246330","8485050","9939980","11684500","13241800","14780700","15332700","16456700","16626200","16605700","12943800","13882300","14651400","15772800","15853100","",
"Egypt, Arab Rep.","EGY","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","2627","3021","3619","4000","4500","4913","6877","7371","7368","7369","65378","90786","480974","1359900","2793800","4494700","5797530","7643060","13629600","18001100","30093700","41286700","55352200","70661000","83425100","96798800","99705000","95316000","94016200","97791400","102958000","93784500","95340300","",
"Euro area","EMU","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","23482","28278","33880","42226","52010","90036","168893","276071","476560","783789","1365439","2239023","3262270","5062586","7935034","13046171","22820598","40029579","69941855","120574747","189631134","230456260","247085278","267928324","291307451","322490933","350618796","385421372","404600666","403409904","391522569","402586501","408111682","412223613","407193679","405582471","410002710","416260929","416682673","416482868","",
"Eritrea","ERI","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20000","40438","61996","84348","108631","141130","185275","241939","305283","354844","417400","475000","506000","695000","695000","695000","",
"Spain","ESP","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","1700","4200","11628","29783","54700","108451","180296","257261","411930","944955","2997650","4337700","6437440","15003700","24265100","29655700","33531000","37219800","38622600","42694100","45695100","48422500","49623300","51052700","51389400","52590500","50665100","50158700","50806300","51067800","51521500","52506900","54103500","55267600","",
"Estonia","EST","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","570","2498","7224","13774","30452","69500","144200","247000","387000","557000","651200","881000","1050240","1255730","1445300","1658700","1681850","1624470","1570540","1652810","1806080","1999750","1927420","1897550","1903550","1897920","1904430","1924030","1951050","",
"Ethiopia","ETH","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6740","17757","27500","50369","51324","155534","410630","866700","1208500","1954530","4051700","6854000","14126700","20523900","25646900","30490000","42311600","51224000","39600000","39540000","39540000","",
"European Union","EUU","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","23482","48640","68316","94620","140524","209136","339097","526503","821039","1256581","1977744","2994904","4165791","6283311","10062844","16329011","27628034","47078344","80898121","137859037","217806274","270663830","298927558","329628964","365645881","410555163","453810996","502825632","530556236","530575104","520322009","535242031","545032392","551669383","546079589","538923191","541257970","544201989","545600103","547360768","",
